id	filename	md5	size	state
3c236aa9-1a06-4909-9171-01c502b3f729	3c236aa9-1a06-4909-9171-01c502b3f729/TCGA-JY-A6FG-01A-21-A41X-20_RPPA_data.tsv	6c27448efe53b993f9c62b209470a3b5	22105	validated
3cf0f88a-f397-40a1-ae69-0b40b51bccdd	3cf0f88a-f397-40a1-ae69-0b40b51bccdd/TCGA-L5-A8NT-01A-21-A41Y-20_RPPA_data.tsv	01c8ce4e59f445bfe0be4d61ddfe7f87	22098	validated
3de95f99-725d-4987-8bfa-951b2095f0f8	3de95f99-725d-4987-8bfa-951b2095f0f8/TCGA-IG-A5S3-01A-21-A41X-20_RPPA_data.tsv	50b4869037613c3a3ed32360172a078b	22105	validated
432f1060-237d-4018-b4fb-4f53b6e18272	432f1060-237d-4018-b4fb-4f53b6e18272/TCGA-LN-A49M-01A-11-A41X-20_RPPA_data.tsv	cc34f2c9669a4e668cae3f45b35408f6	22083	validated
43923fe7-1609-4154-aee8-b2cf8fc00e14	43923fe7-1609-4154-aee8-b2cf8fc00e14/TCGA-L5-A4OS-01A-21-A41X-20_RPPA_data.tsv	11be07110448f8bcabeb3acf33168cab	22072	validated
4484842c-ebaf-4f91-ba10-4d74888508dd	4484842c-ebaf-4f91-ba10-4d74888508dd/TCGA-VR-A8EQ-01A-21-A41Y-20_RPPA_data.tsv	65742bfa8a2b34a0af7c6c8e5212807b	22050	validated
45dd6fb9-30ec-4658-8777-1121179868b2	45dd6fb9-30ec-4658-8777-1121179868b2/TCGA-VR-A8EP-01A-21-A41Y-20_RPPA_data.tsv	9a62df495ff6647cab6bbe47c5c8a578	22116	validated
4633805c-fb7e-47f9-8c00-9b1d20617994	4633805c-fb7e-47f9-8c00-9b1d20617994/TCGA-L5-A43J-01A-21-A41X-20_RPPA_data.tsv	7f627914c430f4178ed1b208e2582cce	22096	validated
474ff098-14b7-4dfd-9ea9-d6c39f2a30ae	474ff098-14b7-4dfd-9ea9-d6c39f2a30ae/TCGA-L5-A4OU-01A-21-A41X-20_RPPA_data.tsv	597893dbf3419ef8432225aa41765b4f	22080	validated
49a2296a-dbe0-40c3-b5e5-3e76fa465cf9	49a2296a-dbe0-40c3-b5e5-3e76fa465cf9/TCGA-XP-A8T7-01A-21-A41Y-20_RPPA_data.tsv	3c5a487895b4c52bb18be072127f83e4	22069	validated
4c18397a-3e05-4204-aee2-e83eabecf191	4c18397a-3e05-4204-aee2-e83eabecf191/TCGA-L5-A8NI-01A-21-A41Y-20_RPPA_data.tsv	bba4555a6b93a2e259d26f115779a407	22083	validated
4d5697fb-8ea3-4f66-953d-be7e4bd1073f	4d5697fb-8ea3-4f66-953d-be7e4bd1073f/TCGA-IG-A3QL-01A-21-A41X-20_RPPA_data.tsv	584684d8b9908234d81fd9dfde60321e	22113	validated
5324e998-373c-4c42-ae66-689d4c2fd00e	5324e998-373c-4c42-ae66-689d4c2fd00e/TCGA-IG-A97H-01A-21-A41Y-20_RPPA_data.tsv	f003352c9cd65c6bd017f09e7a3152e1	22053	validated
5414bb15-97bf-4b99-aff9-6d74bc143ef6	5414bb15-97bf-4b99-aff9-6d74bc143ef6/TCGA-L5-A8NL-01A-21-A41Y-20_RPPA_data.tsv	358ccd36f6b6fdfefc791d43ea5f7c16	22075	validated
54cb45f4-fc27-4ab4-9aff-8479fbb9d8de	54cb45f4-fc27-4ab4-9aff-8479fbb9d8de/TCGA-LN-A49K-01A-21-A41X-20_RPPA_data.tsv	fd3831b65a3043c93091098d2fb671a3	22084	validated
5a80905b-f3e7-4d48-87d7-d89b082657ed	5a80905b-f3e7-4d48-87d7-d89b082657ed/TCGA-IG-A4QS-01A-21-A41X-20_RPPA_data.tsv	f1598b8b6ce74c34fc8ad84fc8640711	22085	validated
5a8e2566-adaf-48fe-891b-a2ef7f7209da	5a8e2566-adaf-48fe-891b-a2ef7f7209da/TCGA-L5-A4OW-01A-21-A41X-20_RPPA_data.tsv	a4d874f56638222c27ef2d5fd0f7c25f	22084	validated
5d8ec0d0-e82f-4b88-9008-9499e8e6e03a	5d8ec0d0-e82f-4b88-9008-9499e8e6e03a/TCGA-LN-A9FP-01A-41-A41Y-20_RPPA_data.tsv	9097c1c574d945fa1b985d3e911f9a47	22083	validated
5ddde2f6-2eac-47b8-b890-3a9d0fbc3591	5ddde2f6-2eac-47b8-b890-3a9d0fbc3591/TCGA-JY-A93F-01A-11-A41Y-20_RPPA_data.tsv	a3a54bcbe3051a036814dfc39fea1b45	22013	validated
5dfe5810-6463-49f6-b0f7-a2be4a8c0bc8	5dfe5810-6463-49f6-b0f7-a2be4a8c0bc8/TCGA-L5-A4OX-01A-11-A41X-20_RPPA_data.tsv	b7cc48ba987bc0249e28091d2870a79a	22064	validated
5e26b6f3-7564-4773-a762-2370f346aa42	5e26b6f3-7564-4773-a762-2370f346aa42/TCGA-VR-A8EO-01A-21-A41Y-20_RPPA_data.tsv	f2e153b5c18d55f10b01a26880ac323e	21994	validated
5e881429-ce9c-4a11-acd7-13ecb8a8ca0c	5e881429-ce9c-4a11-acd7-13ecb8a8ca0c/TCGA-L5-A8NF-01A-21-A41Y-20_RPPA_data.tsv	78ae1fcb4846be82a4ea9c3838112c7b	22070	validated
5f64a106-1e05-49db-a79b-d4c824850542	5f64a106-1e05-49db-a79b-d4c824850542/TCGA-L5-A4ON-01A-21-A41X-20_RPPA_data.tsv	0f8df8922408939e7334c82020772096	22069	validated
6019426a-7a47-4a8c-9429-4925da25f55d	6019426a-7a47-4a8c-9429-4925da25f55d/TCGA-JY-A939-01A-21-A41Y-20_RPPA_data.tsv	aecbbb13606e09a4bdb3c8d1518b0c99	22049	validated
61015182-ab55-4671-b6f1-efdfd365fcb9	61015182-ab55-4671-b6f1-efdfd365fcb9/TCGA-2H-A9GQ-01A-21-A41Y-20_RPPA_data.tsv	21c3385f4bae75195c69a742b629604e	24019	validated
6462ca16-a382-4ddf-b26f-edbb211b96ba	6462ca16-a382-4ddf-b26f-edbb211b96ba/TCGA-L7-A56G-01A-11-A41X-20_RPPA_data.tsv	5bc4c1096b3946e83f547d20e04caef2	22070	validated
653e226d-d3eb-4041-b94e-05e6ec43b27a	653e226d-d3eb-4041-b94e-05e6ec43b27a/TCGA-Z6-A9VB-01A-11-A41X-20_RPPA_data.tsv	3db569169b0c2afc40203410e43ae6e2	22075	validated
65b5e227-3ae0-4f62-a0b9-cecd17af8caa	65b5e227-3ae0-4f62-a0b9-cecd17af8caa/TCGA-LN-A9FO-01A-21-A41Y-20_RPPA_data.tsv	f41c92f1b693d18136aababf02c3125c	22066	validated
66aef506-ffc3-49d5-9818-0ac35810fa8a	66aef506-ffc3-49d5-9818-0ac35810fa8a/TCGA-IC-A6RF-01A-21-A41Y-20_RPPA_data.tsv	055c274910fe29e9eac626a037006030	22110	validated
6934421f-422c-40c8-ace7-a01beae0926e	6934421f-422c-40c8-ace7-a01beae0926e/TCGA-LN-A8I0-01A-21-A41Y-20_RPPA_data.tsv	f903909c9157df6f487672152f35cc77	22051	validated
69a2cb50-cfe4-4e5d-834d-d5487f6bbcd4	69a2cb50-cfe4-4e5d-834d-d5487f6bbcd4/TCGA-L5-A43E-01A-21-A41X-20_RPPA_data.tsv	7fe2eb1e00ae0c9bb6bb21d34e994284	22048	validated
